id,titre,contenu,embedding
1,CGV - Objet,Les présentes conditions générales régissent la location de matériel audiovisuel par Flightcase FWI. Elles s’appliquent à tout contrat conclu en Guadeloupe ou ailleurs.,
2,CGV - Mise à disposition et utilisation,"Le matériel est remis en parfait état. Le client en est responsable dès la remise. Toute perte, vol ou dégradation sera facturée. La sous-location est interdite.",
3,CGV - Durée et retours,La durée de location est fixée au contrat. Tout retard entraîne facturation complémentaire. Prolongations uniquement sur accord écrit. Retour obligatoire au dépôt avec vérification.,
4,CGV - Annulation et report,Annulation ≥ 24h : sans frais. Annulation < 24h : indemnité 10%. Report possible sous réserve d’accord.,
5,CGV - Caution et justificatifs,"Caution exigée : minimum 300 € ou 15% valeur locative. Moyens acceptés : Visa, Mastercard, Eurocard, chèque (pas Amex). Particulier : CNI + justificatif domicile <3 mois. Pro : Kbis + CNI représentant légal. Asso : statuts + déclaration préfecture + CNI président.",
6,CGV - Assurance,"Non incluse. Option à 8 % de la valeur locative HT. Franchise 15 % min. 300 € HT. Exclusions : perte, vol sans effraction, négligence.",
7,CGV - Retards,Tout retard entraîne facturation jusqu’à restitution.,
8,CGV - Litiges,"Tout litige est de la compétence exclusive du tribunal de Pointe-à-Pitre, Guadeloupe.",
9,Procédure Retrait,"Retrait la veille du premier jour à partir de 15h, uniquement au dépôt Flightcase FWI.",
10,Procédure Retour,Retour obligatoire au dépôt avec vérification par un technicien.,
11,Livraison,Pas de livraison : retrait et retour exclusivement au dépôt.,
12,Assistance technique,Assistance disponible uniquement aux horaires d’ouverture : lundi–vendredi 9h–12h / 14h–18h.,
13,Responsabilité client,Le client est responsable du matériel dès la remise. Toute utilisation non conforme ou transformation interdite. Le matériel doit être restitué dans l’état initial.,
14,Sous-location,Sous-location et prêt du matériel interdits sans accord écrit préalable.,
15,CGV - Essais,"Essais de matériel possibles uniquement dans les locaux Flightcase FWI, aux horaires d’ouverture. Gratuits mais ne constituent pas une réservation.",
16,Retard de paiement,Tout retard entraîne pénalités légales (10%) et frais supplémentaires.,